Match,Optimal_moves,Sub_optimal_moves,win,Number_turns
Game0,11,7,0,36
Game1,29,6,0,70
Game2,9,8,0,34
Game3,17,11,0,56
Game4,20,11,0,62
Game5,16,11,0,54
Game6,15,11,0,52
Game7,30,15,0,90
Game8,27,16,0,86
Game9,19,9,0,56
Game10,41,8,0,98
Game11,59,7,0,132
Game12,19,9,0,56
Game13,37,11,0,96
Game14,23,10,0,66
Game15,23,11,0,68
Game16,20,13,0,66
Game17,15,13,0,56
Game18,13,7,0,40
Game19,33,11,0,88
Game20,12,12,0,48
Game21,30,11,0,82
Game22,16,8,0,48
Game23,26,10,0,72
Game24,36,6,0,84
Game25,16,7,0,46
Game26,20,9,0,58
Game27,17,12,0,58
Game28,30,10,0,80
Game29,11,10,0,42
Game30,29,6,0,70
Game31,13,13,0,52
Game32,22,10,0,64
Game33,13,7,0,40
Game34,15,7,0,44
Game35,12,10,0,44
Game36,11,7,0,36
Game37,18,10,0,56
Game38,11,7,0,36
Game39,25,12,0,74
Game40,43,7,0,100
Game41,28,9,0,75
Game42,19,9,0,56
Game43,15,9,0,48
Game44,4,5,0,18
Game45,19,7,0,52
Game46,33,11,0,88
Game47,22,13,0,70
Game48,16,7,0,46
Game49,15,7,0,44
Game50,11,9,0,41
Game51,23,12,0,72
Game52,24,6,0,61
Game53,11,6,0,35
Game54,28,11,0,79
Game55,11,6,0,35
Game56,14,12,0,53
Game57,33,10,0,87
Game58,27,9,0,73
Game59,27,9,0,73
Game60,11,6,0,35
Game61,28,10,0,78
Game62,19,12,0,63
Game63,17,6,0,47
Game64,11,6,0,35
Game65,21,11,0,65
Game66,8,9,0,35
Game67,31,12,0,87
Game68,41,14,0,112
Game69,26,6,0,65
Game70,28,14,0,85
Game71,27,9,0,73
Game72,14,9,0,47
Game73,16,8,0,49
Game74,16,10,0,53
Game75,11,6,0,35
Game76,26,11,0,75
Game77,19,8,0,55
Game78,41,9,0,101
Game79,26,12,0,77
Game80,13,8,0,43
Game81,25,8,0,67
Game82,32,9,0,83
Game83,22,13,0,71
Game84,28,7,0,71
Game85,15,13,0,57
Game86,23,15,0,77
Game87,23,9,0,65
Game88,65,5,0,140
Game89,63,9,0,145
Game90,27,9,0,73
Game91,11,8,0,39
Game92,9,11,0,41
Game93,21,11,0,65
Game94,27,9,0,73
Game95,27,16,0,87
Game96,11,6,0,35
Game97,12,7,0,39
Game98,80,13,1,187
Game99,19,7,0,53
Game100,25,14,0,78
Game101,19,8,0,54
Game102,22,11,0,66
Game103,20,12,0,64
Game104,54,16,0,141
Game105,18,6,0,48
Game106,17,7,0,48
Game107,27,13,0,80
Game108,10,10,0,40
Game109,12,10,0,44
Game110,9,10,0,38
Game111,18,10,0,56
Game112,12,9,0,42
Game113,25,9,0,68
Game114,14,15,0,58
Game115,33,9,0,84
Game116,13,10,0,46
Game117,22,12,0,68
Game118,13,8,0,42
Game119,17,10,0,54
Game120,14,10,0,48
Game121,71,6,0,153
Game122,4,5,0,18
Game123,45,7,0,104
Game124,15,10,0,50
Game125,4,5,0,18
Game126,27,15,0,84
Game127,14,13,0,54
Game128,10,9,0,38
Game129,22,11,0,66
Game130,12,10,0,44
Game131,19,10,0,58
Game132,102,19,1,242
Game133,114,13,1,254
Game134,21,10,0,62
Game135,19,7,0,52
Game136,44,7,0,102
Game137,24,14,0,76
Game138,26,10,0,72
Game139,75,9,1,167
Game140,21,10,0,62
Game141,19,10,0,58
Game142,21,6,0,55
Game143,10,10,0,40
Game144,28,11,0,78
Game145,53,12,0,130
Game146,18,12,0,60
Game147,23,6,0,58
Game148,38,11,0,99
Game149,30,14,0,88
Game150,17,7,0,49
Game151,17,8,0,51
Game152,29,16,0,91
Game153,17,8,0,51
Game154,13,9,0,45
Game155,25,9,0,69
Game156,11,13,0,49
Game157,35,9,0,89
Game158,10,9,0,39
Game159,18,8,0,53
Game160,13,9,0,45
Game161,35,15,0,101
Game162,8,8,0,33
Game163,29,6,0,71
Game164,14,6,0,41
Game165,13,6,0,39
Game166,11,7,0,37
Game167,28,12,0,81
Game168,39,8,0,95
Game169,24,13,0,75
Game170,10,10,0,41
Game171,11,6,0,35
Game172,42,14,0,113
Game173,29,12,0,83
Game174,11,6,0,35
Game175,24,8,0,65
Game176,95,8,0,207
Game177,64,11,0,151
Game178,26,9,0,71
Game179,31,11,0,86
Game180,23,12,0,71
Game181,9,12,0,43
Game182,34,12,0,93
Game183,18,8,0,53
Game184,32,11,0,87
Game185,22,10,0,65
Game186,29,10,0,79
Game187,23,12,0,71
Game188,22,7,0,59
Game189,17,11,0,57
Game190,39,16,0,111
Game191,36,6,0,86
Game192,11,6,0,35
Game193,26,11,0,75
Game194,16,14,0,61
Game195,16,9,0,51
Game196,11,6,0,35
Game197,28,10,0,77
Game198,8,9,0,35
Game199,18,13,0,63
Game200,48,3,1,102
Game201,6,14,0,40
Game202,10,9,0,38
Game203,15,13,0,56
Game204,11,7,0,36
Game205,9,10,0,38
Game206,32,17,0,98
Game207,4,5,0,18
Game208,10,8,0,36
Game209,22,15,0,74
Game210,20,6,0,53
Game211,20,10,0,60
Game212,97,12,1,218
Game213,14,7,0,42
Game214,15,8,0,46
Game215,22,9,0,62
Game216,53,9,0,124
Game217,31,17,0,96
Game218,17,9,0,52
Game219,14,14,0,56
Game220,20,6,0,52
Game221,17,11,0,56
Game222,17,10,0,54
Game223,29,14,0,86
Game224,10,9,0,38
Game225,9,13,0,44
Game226,15,10,0,50
Game227,15,10,0,50
Game228,12,9,0,42
Game229,20,16,0,72
Game230,32,10,0,84
Game231,18,13,0,62
Game232,53,4,0,114
Game233,12,10,0,44
Game234,18,5,1,45
Game235,55,18,0,146
Game236,15,13,0,56
Game237,47,6,0,106
Game238,44,11,0,110
Game239,15,7,0,44
Game240,77,11,1,176
Game241,108,17,1,250
Game242,61,11,1,144
Game243,83,11,1,188
Game244,8,10,0,36
Game245,99,12,0,221
Game246,21,6,0,55
Game247,43,16,0,118
Game248,18,11,0,58
Game249,38,6,0,88
Game250,20,5,1,50
Game251,23,9,0,65
Game252,35,14,0,99
Game253,12,9,0,43
Game254,26,14,0,81
Game255,42,18,0,121
Game256,13,6,0,39
Game257,98,11,0,219
Game258,32,12,0,89
Game259,20,10,0,61
Game260,21,14,0,71
Game261,36,10,0,93
Game262,19,14,0,67
Game263,30,6,1,72
Game264,12,7,0,39
Game265,24,13,0,75
Game266,28,11,0,79
Game267,9,11,0,41
Game268,11,6,0,35
Game269,32,6,0,77
Game270,66,4,1,140
Game271,23,15,0,77
Game272,20,12,0,65
Game273,21,9,0,61
Game274,15,11,1,52
Game275,14,12,0,53
Game276,15,9,0,49
Game277,11,10,0,43
Game278,19,7,0,53
Game279,34,6,0,81
Game280,22,9,0,63
Game281,27,11,0,77
Game282,33,15,0,97
Game283,64,19,1,167
Game284,12,12,0,49
Game285,22,15,0,75
Game286,19,8,0,55
Game287,27,16,0,88
Game288,35,5,0,81
Game289,12,9,0,43
Game290,25,8,0,67
Game291,111,7,1,237
Game292,14,14,0,57
Game293,92,12,0,209
Game294,36,19,0,111
Game295,51,10,1,123
Game296,37,9,0,93
Game297,13,9,0,45
Game298,32,8,0,81
Game299,30,5,0,71
Game300,28,16,0,88
Game301,32,22,0,108
Game302,95,6,1,202
Game303,46,9,1,109
Game304,14,13,0,54
Game305,16,6,0,44
Game306,20,15,0,70
Game307,15,11,0,52
Game308,75,16,1,181
Game309,18,9,0,54
Game310,49,7,0,112
Game311,28,15,0,86
Game312,36,17,0,106
Game313,10,10,0,40
Game314,16,13,0,58
Game315,17,16,0,66
Game316,19,13,0,64
Game317,16,9,0,50
Game318,25,22,0,94
Game319,12,10,0,44
Game320,24,13,0,74
Game321,18,12,0,60
Game322,17,13,0,60
Game323,21,10,0,62
Game324,18,12,0,60
Game325,32,9,0,82
Game326,28,7,0,70
Game327,13,13,0,52
Game328,11,6,0,34
Game329,56,14,1,139
Game330,15,10,0,50
Game331,61,17,1,156
Game332,32,5,0,74
Game333,51,13,1,127
Game334,25,15,0,80
Game335,29,12,0,82
Game336,28,19,0,94
Game337,4,5,0,18
Game338,34,7,0,82
Game339,20,16,0,72
Game340,9,10,0,38
Game341,65,8,1,146
Game342,15,10,0,50
Game343,21,14,0,70
Game344,24,9,0,66
Game345,23,11,0,68
Game346,15,16,0,62
Game347,30,6,0,72
Game348,23,10,0,66
Game349,7,10,0,34
Game350,23,14,0,75
Game351,31,13,0,89
Game352,39,16,0,111
Game353,29,10,1,79
Game354,15,8,0,47
Game355,104,11,0,231
Game356,115,17,1,265
